Y;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9
13500;23;46986;1;90;1;0;2000;3;1165
13750;23;72937;1;90;1;0;2000;3;1165
13950;24;41711;1;90;1;0;2000;3;1165
14950;26;48000;1;90;0;0;2000;3;1165
13750;30;38500;1;90;0;0;2000;3;1170
12950;32;61000;1;90;0;0;2000;3;1170
16900;27;94612;1;90;1;0;2000;3;1245
18600;30;75889;1;90;1;0;2000;3;1245
21500;27;19700;0;192;0;0;1800;3;1185
12950;23;71138;1;69;0;0;1900;3;1105
20950;25;31461;0;192;0;0;1800;3;1185
19950;22;43610;0;192;0;0;1800;3;1185
19600;25;32189;0;192;0;0;1800;3;1185
21500;31;23000;0;192;1;0;1800;3;1185
22500;32;34131;0;192;1;0;1800;3;1185
22000;28;18739;0;192;0;0;1800;3;1185
22750;30;34000;0;192;1;0;1800;3;1185
17950;24;21716;0;110;1;0;1600;3;1105
16750;24;25563;0;110;0;0;1600;3;1065
16950;30;64359;0;110;1;0;1600;3;1105
15950;30;67660;0;110;1;0;1600;3;1105
16950;29;43905;0;110;0;1;1600;3;1170
15950;28;56349;0;110;1;0;1600;3;1120
16950;28;32220;0;110;1;0;1600;3;1120
16250;29;25813;0;110;1;0;1600;3;1120
15950;25;28450;0;110;1;0;1600;3;1120
17495;27;34545;0;110;1;0;1600;3;1120
15750;29;41415;0;110;1;0;1600;3;1120
16950;28;44142;0;110;0;0;1600;3;1120
17950;30;11090;0;110;1;0;1600;3;1120
12950;29;9750;0;97;1;0;1400;3;1100
15750;22;35199;0;97;1;0;1400;3;1100
15950;27;29510;0;97;1;0;1400;3;1100
14950;26;32692;0;97;1;0;1400;3;1100
15500;22;41000;0;97;1;0;1400;3;1100
15750;26;43000;0;97;0;0;1400;3;1100
15950;25;25000;0;97;0;0;1400;3;1100
14950;23;10000;0;97;1;0;1400;3;1100
15750;32;25329;0;97;1;0;1400;3;1100
14750;27;27500;0;97;0;0;1400;3;1100
13950;22;49059;0;97;0;0;1400;3;1100
16750;27;44068;0;97;1;0;1400;3;1100
13950;22;46961;0;97;0;0;1400;3;1100
16950;27;110404;1;90;0;0;2000;5;1255
16950;22;100250;1;90;0;0;2000;5;1255
19000;23;84000;1;90;0;0;2000;5;1270
17950;27;79375;1;90;1;0;2000;5;1255
15800;22;75048;0;97;1;0;1400;5;1110
17950;22;72215;1;90;1;0;2000;5;1255
21950;31;64982;0;192;1;0;1800;5;1195
17950;22;62636;1;90;1;0;2000;5;1255
15750;30;57086;0;97;1;0;1400;5;1110
20500;26;56000;0;110;1;1;1600;5;1180
21950;27;49866;0;192;1;0;1800;5;1195
15500;25;49163;0;110;0;1;1600;5;1165
13250;32;45725;0;110;1;0;1600;5;1075
15250;28;43210;0;97;0;0;1400;5;1110
15250;26;43000;0;97;0;0;1400;5;1110
18950;23;39704;0;110;1;1;1600;5;1180
15999;30;38950;0;110;1;0;1600;5;1130
14950;22;37400;0;97;1;0;1400;5;1110
16500;27;37177;0;110;0;0;1600;5;1130
18750;31;36544;0;110;1;0;1600;5;1130
17950;30;33511;0;110;1;0;1600;5;1130
17950;27;32809;0;97;1;0;1400;5;1110
16950;26;32181;0;110;1;0;1600;5;1075
18950;28;30993;0;110;1;0;1600;5;1130
14950;22;30400;0;97;1;0;1400;5;1110
22250;22;30000;1;110;1;0;2000;5;1275
15950;25;29719;0;97;1;0;1400;5;1110
15950;28;29206;0;97;1;0;1400;5;1110
12995;32;29198;0;97;1;0;1400;5;1060
18950;28;28817;0;110;1;0;1598;5;1130
15750;23;28227;0;97;1;0;1400;5;1110
19950;28;28000;0;110;0;0;1600;5;1130
16950;23;28000;0;110;1;0;1600;5;1115
18750;31;25266;0;110;1;0;1600;5;1130
18450;27;23489;0;110;0;0;1600;5;1115
16895;29;22575;0;110;1;0;1600;5;1115
14900;30;22000;0;97;1;0;1400;5;1110
18950;25;20019;0;110;1;1;1600;5;1180
17250;29;20000;0;110;1;0;1600;5;1115
15450;25;17003;0;97;1;0;1400;5;1110
17950;31;16238;0;110;1;1;1600;5;1180
16650;25;15414;0;97;1;0;1400;5;1110
17450;28;8537;0;110;1;0;1600;5;1130
14900;30;7000;0;97;1;0;1400;5;1100
17950;20;66966;1;90;1;0;2000;3;1245
15950;19;51884;0;97;1;0;1400;3;1100
21950;19;50005;1;110;1;0;2000;3;1265
16450;20;48110;0;97;1;0;1400;3;1100
22250;20;37500;1;90;1;0;2000;3;1260
19950;16;34472;1;90;1;0;1995;3;1260
15950;20;33329;0;97;1;0;1400;3;1100
18900;20;31850;0;110;0;0;1600;3;1120
19950;17;30351;1;90;1;0;1995;3;1260
15950;19;29435;0;97;1;0;1400;3;1100
15950;19;25948;0;97;1;0;1400;3;1100
18750;11;24500;0;110;1;0;1600;3;1120
17450;18;23902;0;97;1;0;1400;3;1100
18990;20;23175;0;110;1;0;1600;3;1120
16250;19;19200;0;97;1;0;1400;3;1100
18500;13;18000;0;71;0;0;1400;3;1125
18500;11;16123;0;110;1;0;1600;3;1105
19450;11;14635;0;110;1;1;1600;3;1155
16950;19;13748;0;97;1;0;1400;3;1100
18800;14;11500;0;110;1;0;1600;3;1045
17450;17;10000;0;97;1;0;1400;3;1100
17950;20;7187;0;110;1;0;1600;3;1105
32500;4;1;1;116;0;0;2000;5;1480
31000;4;4000;1;116;1;0;2000;5;1480
31275;4;1500;1;116;1;0;2000;5;1480
24950;8;13253;1;116;1;0;2000;5;1320
24950;8;13253;1;116;1;0;2000;5;1320
22950;7;10000;1;116;1;0;2000;5;1270
24990;8;6000;1;90;1;0;2000;5;1280
21950;8;10841;1;90;1;0;2000;5;1270
17900;7;1;0;110;1;0;1600;3;1105
19250;20;63000;1;90;1;0;2000;5;1255
22250;17;57313;1;110;1;0;2000;5;1275
18950;13;57037;0;110;0;0;1600;5;1115
19950;19;51099;1;90;1;0;2000;5;1255
16350;14;40010;0;110;1;0;1600;5;1115
18950;20;39115;0;110;1;0;1600;5;1130
16950;17;36012;0;110;0;0;1600;5;1130
21750;16;36000;0;110;1;0;1600;5;1130
15950;20;36000;0;110;1;0;1600;5;1075
16500;20;35000;0;97;1;0;1400;5;1110
17950;17;33740;0;97;1;0;1400;5;1135
15850;13;33477;0;110;1;0;1600;5;1075
16250;20;32627;0;97;1;0;1400;5;1110
15950;20;29797;0;97;1;0;1400;5;1110
16250;19;29441;0;97;1;0;1400;5;1110
15950;13;29371;0;110;1;0;1600;4;1105
16500;20;29000;0;97;0;0;1400;5;1110
16500;19;27821;0;97;0;0;1400;5;1110
18450;19;27371;0;97;0;0;1400;5;1135
16250;13;25170;0;110;1;0;1600;5;1105
23000;11;25000;1;116;1;0;2000;5;1320
19900;20;23000;0;110;1;0;1600;5;1130
16450;20;22588;0;97;1;0;1400;5;1110
23950;19;21684;0;192;1;0;1800;5;1185
19950;13;21428;0;110;1;0;1600;5;1130
18500;16;20629;0;110;1;0;1600;4;1090
18950;15;20270;0;110;1;0;1600;5;1130
16450;16;20105;0;97;0;0;1400;5;1110
20500;20;20000;0;110;0;1;1600;5;1165
24500;13;19988;0;110;1;0;1600;5;1130
19450;19;18328;0;110;0;0;1600;5;1130
20950;14;17896;0;110;1;1;1600;4;1150
17200;20;17300;0;97;1;0;1400;5;1110
19950;19;17038;0;110;0;0;1600;5;1130
18450;10;13747;0;97;1;0;1400;5;1110
19500;12;13634;0;110;1;0;1600;5;1115
21750;13;13178;0;110;1;0;1600;5;1130
16868;15;13157;0;97;1;0;1400;4;1085
19500;16;13000;0;110;1;0;1600;4;1105
18900;11;12500;0;110;1;0;1600;5;1115
19750;17;11999;0;110;1;0;1600;5;1130
19750;16;11754;0;110;0;1;1600;5;1180
18950;16;11000;0;110;1;0;1600;4;1105
20750;17;10000;0;110;0;0;1598;5;1105
19600;9;7650;0;110;1;0;1600;5;1115
19500;14;6500;0;110;1;0;1600;4;1100
17650;11;6155;0;97;1;0;1400;5;1110
19950;14;6000;0;110;0;0;1600;5;1130
19950;14;5459;0;110;1;0;1600;5;1130
20950;14;5278;0;110;1;1;1600;4;1150
20500;12;5000;0;110;1;0;1600;5;1130
17795;9;1;0;98;1;0;1400;4;1065
18245;9;1;0;110;1;0;1600;5;1075
23750;8;11000;0;110;1;0;1600;5;1130
19500;8;10077;0;97;1;0;1400;5;1110
18950;8;10000;0;97;1;0;1400;5;1110
21950;8;9788;0;110;1;0;1600;5;1130
19950;8;8574;0;110;1;0;1600;5;1130
18950;8;7000;0;110;0;0;1600;5;1115
19950;7;6250;0;110;1;0;1600;5;1115
21950;8;5000;0;110;1;0;1600;5;1130
22500;6;3000;0;110;0;0;1600;5;1130
18500;7;2000;0;110;0;0;1600;5;1075
18700;7;450;0;97;1;0;1400;5;1110
21125;2;225;0;97;1;0;1400;5;1110
21500;2;15;0;110;1;0;1600;5;1130
17795;1;1;0;98;1;0;1400;4;1100
18245;1;1;0;110;1;0;1600;5;1075
6950;43;243000;1;69;0;0;1900;3;1110
9500;38;180638;1;90;0;0;2000;4;1160
11950;40;179860;1;90;1;0;2000;5;1205
7750;43;178858;0;110;0;0;1600;3;1084
11950;40;161000;1;69;1;0;1900;3;1105
4350;44;158320;1;69;0;0;1800;5;1110
4750;44;131273;1;69;1;0;1800;5;1110
11750;40;130062;1;69;1;0;1900;5;1140
13250;41;123425;1;69;1;0;1900;5;1140
11950;37;118217;0;110;1;0;1600;5;1075
11900;44;110000;1;69;1;0;1900;5;1095
14750;39;108847;1;90;1;0;2000;5;1205
9950;42;105699;0;97;1;0;1400;3;1025
11950;39;98823;0;110;1;0;1600;5;1119
11495;44;96829;0;110;1;0;1600;5;1075
11250;40;96518;0;97;1;0;1400;3;1025
10500;42;92204;0;110;1;0;1600;5;1075
10450;35;91456;1;69;1;0;1900;3;1110
12950;43;89968;1;69;1;0;1900;5;1140
11500;44;89757;0;110;1;0;1600;3;1045
12500;40;85389;0;110;1;0;1600;5;1075
10950;43;85017;0;97;0;0;1400;5;1060
11450;41;84312;0;110;0;0;1600;5;1080
11950;37;82743;0;110;1;0;1600;5;1121
13250;41;81106;1;69;1;0;1900;5;1140
14750;40;80425;1;90;1;0;2000;5;1205
11790;34;78677;0;110;1;1;1600;5;1105
11450;40;78425;0;110;1;0;1600;5;1075
13500;33;78108;1;90;1;0;2000;3;1170
10950;33;77321;0;110;1;0;1600;5;1075
13500;33;75699;1;69;0;0;1900;3;1105
10950;41;75697;0;97;1;0;1400;3;1025
10950;44;74846;0;97;1;0;1400;3;1025
12950;38;74319;0;110;1;0;1600;5;1075
11950;43;74285;0;110;1;0;1600;5;1075
12450;44;74172;0;110;1;0;1600;5;1615
11950;40;73042;0;110;1;0;1598;5;1075
14950;44;71793;0;110;1;0;1600;4;1067
12450;35;71200;0;110;1;0;1600;5;1075
12950;38;67805;0;110;1;0;1600;5;1075
11950;35;65988;0;110;1;0;1600;3;1040
11690;34;65345;0;97;1;0;1400;5;1060
